timestamp(ms);latitude;longitude;action_type;topic;geofence;payload_size
728;39.9857883054047;-83.5172004554777;ping;;;
729;39.9857883054047;-83.5172004554777;subscribe;road;BUFFER (POINT (-83.5172004554777 39.9857883054047), 0.004496601838808317);
730;39.9857883054047;-83.5172004554777;subscribe;text;BUFFER (POINT (-83.5172004554777 39.9857883054047), 0.33878463777797774);
5000;39.9857883054047;-83.5172004554777;ping;;;
24858;39.98606383550769;-83.51705351436718;ping;;;
47358;39.98636044899368;-83.51684406126265;ping;;;
47359;39.98636044899368;-83.51684406126265;subscribe;road;BUFFER (POINT (-83.51684406126265 39.98636044899368), 0.004496601838808317);
47360;39.98636044899368;-83.51684406126265;subscribe;text;BUFFER (POINT (-83.5172004554777 39.9857883054047), 0.33878463777797774);
54842;39.986412393552506;-83.51681644935823;ping;;;
54846;39.986412393552506;-83.51681644935823;publish;text;BUFFER (POINT (-83.51681644935823 39.986412393552506), 0.38584659865106136);528
60000;39.9864996896754;-83.51675248685463;ping;;;
