timestamp(ms);latitude;longitude;action_type;topic;geofence;payload_size
2229;40.07607880675884;-83.04891858993386;ping;;;
2230;40.07607880675884;-83.04891858993386;subscribe;road;BUFFER (POINT (-83.04891858993386 40.07607880675884), 0.004496601838808317);
2231;40.07607880675884;-83.04891858993386;subscribe;text;BUFFER (POINT (-83.04891858993386 40.07607880675884), 0.33023437041568204);
5000;40.07607880675884;-83.04891858993386;ping;;;
5004;40.07607880675884;-83.04891858993386;publish;text;BUFFER (POINT (-83.04891858993386 40.07607880675884), 0.17023486740465232);671
19357;40.076325867923416;-83.04897690000676;ping;;;
19361;40.076325867923416;-83.04897690000676;publish;text;BUFFER (POINT (-83.04897690000676 40.076325867923416), 0.09972017527651439);78
43838;40.07673813224835;-83.04912763061706;ping;;;
43839;40.07673813224835;-83.04912763061706;subscribe;road;BUFFER (POINT (-83.04912763061706 40.07673813224835), 0.004496601838808317);
43840;40.07673813224835;-83.04912763061706;subscribe;text;BUFFER (POINT (-83.04891858993386 40.07607880675884), 0.33023437041568204);
60000;40.0770616856752;-83.04914967080366;ping;;;
