timestamp(ms);latitude;longitude;action_type;topic;geofence;payload_size
3185;39.71173252524859;-83.24031633939617;ping;;;
3186;39.71173252524859;-83.24031633939617;subscribe;road;BUFFER (POINT (-83.24031633939617 39.71173252524859), 0.004496601838808317);
3187;39.71173252524859;-83.24031633939617;subscribe;text;BUFFER (POINT (-83.24031633939617 39.71173252524859), 0.22341115504864553);
5000;39.71173252524859;-83.24031633939617;ping;;;
5004;39.71173252524859;-83.24031633939617;publish;text;BUFFER (POINT (-83.24031633939617 39.71173252524859), 0.1984262418569733);563
13002;39.71182994826043;-83.24018576883695;ping;;;
29893;39.711970153450686;-83.23998083046975;ping;;;
58981;39.712243368678116;-83.23942308988791;ping;;;
58982;39.712243368678116;-83.23942308988791;subscribe;road;BUFFER (POINT (-83.23942308988791 39.712243368678116), 0.004496601838808317);
58983;39.712243368678116;-83.23942308988791;subscribe;text;BUFFER (POINT (-83.24031633939617 39.71173252524859), 0.22341115504864553);
58985;39.712243368678116;-83.23942308988791;publish;text;BUFFER (POINT (-83.23942308988791 39.712243368678116), 0.07227372732301116);406
60000;39.71230308054079;-83.239337031064;ping;;;
